text;department;process;document;edition
"My Comments  This invoice 'SAJ/2018/0090 reconciled with customer payment id 2394 which is created on 04-08-2018,  Invoice & Customer Payment both created on 04-08-2018.  Customer Payment id 2804 & 2800 is created under the same Customer Multi Payment CPM00231  Now When multi document try to validate its give error. Than User try to validate individual customer payment. 2804 validate but after this the rest giving error.  2800, 2801, 2802, 2803 ids, all these giving error now 'Warning  Journal Item ' Move 'SAJ/2018/0090' is already reconciled'.   In all these Customer Payments which is actually under 1 Multi Customer Payment How Come ""Invoice"" & ""Old Payment id 2394"" is appearing in all other. It comes automatic.  Now User need solution to how to avoid this error as it coming Automatically. User is not doing anything manual.     Thanks & Regards! HM Fiaz";;;;
-------- Forwarded Message -------- Subject: Premiers request update. Date: Mon, 3 Sep 2018 16:06:00 +0300 From: Rakotondratovo Hery-Zo To: Christian Rakotondratsima Dear Sir, The pending request for premiers interface cahnge are: - button open in accounting report, th t need time among 3 to 5 days. - loading during cancel sale order: the algorithm is already optimal and we don't find something to change. (the reason is that SO is related to processing order, many requirements, many stages, many documents the system take time during cancellation ) Best regards. -- Hery-Zo RAKOTONDRATOVO --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ;;;;
"-------- Forwarded Message -------- Subject: RE: Platform Optimization Date: Sat, 29 Sep 2018 08:58:48 +0400 From: fiaz@globalmigration.co.uk To: 'Christian Rakotondratsima' CC: 'Baig' , 'Samoelinirina Andrianomenjanahary' , 'support' Sure Pls go ahead Thanks &amp; Regards! -----Original Message----- From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com] Sent: Saturday, September 29, 2018 8:57 AM To: Hafiz Fiaz";;;;
"-------- Forwarded Message -------- Subject: AWS Immigration Anomaly Date: Mon, 1 Oct 2018 09:11:59 +0100 From: Baig <baig@globalmigration.co.uk> [1] To: 'Christian Rakotondratsima' <c.rakotondratsima@miroke.com> [2] , 'Manantenasoa Randrianirina' <mf.randrianirina@mirogoods.com> [3] , 'support' <support@miroke.com> [4] , 'Samoelinirina Andrianomenjanahary' <s.andrianomenjanahary@mirogoods.com> [5] CC: fiaz@samana-group.com [6] Dear Concerned, AWS Immigration Sales > Leads .... In Search only Name is working, Mobile and email is not working. This function was already delivered. We are surprised why the functionality of this function is disturbed again. Please manage to resolve ASAP. Thanks &amp; Regards! Umer Baig ERP Support Analyst Global Migration Services";;;;
-------- Forwarded Message -------- Subject: AWS Immigration, Host Gator Business Centres & AAA ERP Date: Mon, 1 Oct 2018 09:59:43 +0100 From: Baig <baig@globalmigration.co.uk> [1] To:'Christian Rakotondratsima' <c.rakotondratsima@miroke.com> [2] , 'support' <support@miroke.com> [3] , 'Manantenasoa Randrianirina' <mf.randrianirina@mirogoods.com> [4] , 'Samoelinirina Andrianomenjanahary' <s.andrianomenjanahary@mirogoods.com> [5] CC: fiaz@samana-group.com [6] Dear Concerned, The following functionalities were delivered on test platform, pl. deliver them on production platform too after 06:30 pm today. 1-Reporting>Processing reports (AWS Immigration & AAA ERP) 2-Signature function on AWS Immigration & AAA ERP (AWS Immigration, Host Gator Business Centres & AAA ERP) Thanks & Regards! Umer Baig ERP Support Analyst;;;;
"-------- Forwarded Message -------- Subject: Apps Addition in ERP Date: Sun, 30 Sep 2018 14:25:45 +0400 From: fiaz <fiaz@samana-group.com> [1] To: c.rakotondratsima@miroke.com [2] , support@miroke.com [3] , Tefy <t.rakotonirina@mirogoods.com> [4] , 'Manantenasoa Randrianirina' <mf.randrianirina@mirogoods.com> [5] CC: baig@globalmigration.co.uk [6] --> Dear Miro Team, We want below Modules to be updated in AWS Test Platform for analysis &amp; testing. Mass Editing (Record Update Mass, Means Multiple) https://apps.odoo.com/apps/modules/8.0/mass_editing/ [7] Export Current View (Tree)  https://apps.odoo.com/apps/modules/8.0/web_export_view/ [8] Users Role Update https://apps.odoo.com/apps/modules/8.0/base_user_role/ [9] MIS Builder https://apps.odoo.com/apps/modules/8.0/mis_builder/ [10] H.M.Fiaz Business Analyst Manager Internal Audit";;;;
"-------- Forwarded Message -------- Subject: AWS &amp; AAA Anomaly Date: Mon, 1 Oct 2018 15:54:04 +0400 From: fiaz To: support@miroke.com, c.rakotondratsima@miroke.com, Samoelinirina Andrianomenjanahary CC: baig@globalmigration.co.uk [3:04 PM, 10/1/2018] HMF: One Urgent issue [3:07 PM, 10/1/2018] HMF: AWS Immigration Sales &gt; Qoutations &gt; Open it &gt; There is one field &gt; Ref By with selection option &gt; When i select &gt; Team Sale or Staff Ref &gt; The next Field come ""Referred Staff"" now here user will select the employee but to user Access Group ""sale Person"" drop down employee list is not visible as per access rights. Pls fix and deliver on both AWS &amp; AAA H.M.Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: AWS Immigration , Host Gator Business Centres and AAA ERP Anomaly Date: Wed, 3 Oct 2018 09:17:53 +0100 From: Baig To: 'Tefy Rakotonirina' , 'Christian Rakotondratsima' , support@miroke.com, 'Manantenasoa Randrianirina' CC: fiaz@samana-group.com Dear Concerned, AWS Immigration , Host Gator Business Centres and AAA ERP anomaly. ERP is saving double entries even Debit and Credit are unequal. Accounting&gt;Journal Entries *Name column should be non-mandatory and system must not save any journal entry if the debit balance is not equal to the credit entry. Thanks &amp; Regards! Umer Baig ERP Support Analyst Global Migration Services --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"{""publisher"":{""api_key"":""1e6ef4c2b3e67680225868caeb59b7ad"",""name"":""Google Drive""},""api_version"":""1.0"",""updates"":{""snippets"":[{""icon"":""PERSON"",""message"":""Miro GMS_MigrationBackup has invited you to organize, add, \u0026 edit this \nfolder""}],""action"":{""name"":""Open"",""url"":""https://drive.google.com/drive/folders/1Zeeh4gg7SxMDmoLSaesL1hXUvE2u-zRz?usp\u003dsharing_eid\u0026ts\u003d5bb85d53""}},""entity"":{""main_image_url"":""https://ssl.gstatic.com/bt/C3341AA7A1A076756462EE2E5CD71C11/smartmail/bt_google_drive_1600dp_r2.png"",""external_key"":""1Zeeh4gg7SxMDmoLSaesL1hXUvE2u-zRz"",""avatar_image_url"":""https://www.gstatic.com/bt/C3341AA7A1A076756462EE2E5CD71C11/smartmail/bt_google_drive_avatar_224dp_r1.png"",""subtitle"":""shared by Miro GMS_MigrationBackup"",""action"":{""name"":""Open"",""url"":""https://drive.google.com/drive/folders/1Zeeh4gg7SxMDmoLSaesL1hXUvE2u-zRz""},""title"":""Miro_-_GMS_Immigration_ERP_2018-02-28""}}      mirogmsmigrationbackup@gmail.com [1] has invited you to *contribute to* the following shared folder:      Miro_-_GMS_Immigration_ERP_2018-02-28 [2]     Open [3]   mirogmsmigrationbackup@gmail.com [4] is outside your organization. Google Drive: Have all your files within reach from any device. Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA  None [5]  [1] mailto:mirogmsmigrationbackup@gmail.com [2] https://drive.google.com/drive/folders/1Zeeh4gg7SxMDmoLSaesL1hXUvE2u-zRz?usp=sharing_eil&ts=5bb85d53 [3] https://drive.google.com/drive/folders/1Zeeh4gg7SxMDmoLSaesL1hXUvE2u-zRz?usp=sharing_eip&ts=5bb85d53 [4] mailto:mirogmsmigrationbackup@gmail.com [5] https://drive.google.com ";;;;
"On 19/06/2018 10:00, fiaz@globalmigration.co.uk wrote: Immigration AWS Platform Confirmed Sale Order &gt; Click in More ""Revision"" &gt; New Draft Revised Sale Order When click to Confirm its taking too much time and below error http://52.19.189.51/web?&amp;debug=#id=3422&amp;view_type=form&amp;model=sale.order&amp;menu_id=434&amp;action=533 User admin password admin.123 @Mr. Herry &gt; Kindly inactive the ""scheduled Cancel Processing order"" When sale order cancel the processing order should cancel at the same time. I think the belwo error is because of this. XmlHttpRequestError Gateway Time-out 504 Gateway Time-out **504 Gateway Time-out**  nginx/1.10.3 (Ubuntu) Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
-------- Forwarded Message -------- Subject: AWS Immigration, Host Gator & AAA ERP Anomaly Date: Tue, 9 Oct 2018 13:37:31 +0100 From: Umer Farooq <baig@globalmigration.co.uk> To: 'Christian Rakotondratsima' <c.rakotondratsima@miroke.com>, 'Tefy Rakotonirina' <t.rakotonirina@mirogoods.com>, 'Manantenasoa Randrianirina' <mf.randrianirina@mirogoods.com>, support@miroke.com, 'Samoelinirina Andrianomenjanahary' <s.andrianomenjanahary@mirogoods.com> CC: fiaz@samana-group.com AWS Immigration, Host Gator & AAA ERP Anomaly Accounting> Customers> PDC Receipts (Customer Multi Payments) There are three anomalies: 1-System is issuing number without validation. 2-System is issuing serial of PDC Receipt to Customer Multi Payments. http://52.19.189.51/web?#id=319&view_type=form&model=account.voucher.collection&menu_id=937&action=1235 User ID: baig@globalmigration.com Password: Bismillah 3-System is only giving print of accounts copy of Customer Multi Payments. Previously, It gives two copies i:e accounts copy and customer copy. Please note that there were no such errors previously. Thanks & Regards! Umer Baig ERP Support Analyst Global Migration Services;;;;
"-------- Forwarded Message -------- Subject: AWS Immigration, Host Gator &amp; AAA ERP Anomaly Date: Tue, 9 Oct 2018 13:37:31 +0100 From: Umer Farooq To: 'Christian Rakotondratsima' , 'Tefy Rakotonirina' , 'Manantenasoa Randrianirina' , support@miroke.com, 'Samoelinirina Andrianomenjanahary' CC: fiaz@samana-group.com AWS Immigration, Host Gator &amp; AAA ERP Anomaly Accounting&gt; Customers&gt; PDC Receipts (Customer Multi Payments) There are three anomalies: 1-System is issuing number without validation. 2-System is issuing serial of PDC Receipt to Customer Multi Payments. http://52.19.189.51/web?#id=319&amp;view_type=form&amp;model=account.voucher.collection&amp;menu_id=937&amp;action=1235 User ID: baig@globalmigration.com Password: Bismillah 3-System is only giving print of accounts copy of Customer Multi Payments. Previously, It gives two copies i:e accounts copy and customer copy. Please note that there were no such errors previously. Thanks &amp; Regards! Umer Baig ERP Support Analyst Global Migration Services --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
Data Import in Opportunities - AAA ERP (AAA Immigration DB) not AAA ARY Pakistan  Data Upload Fields 1: Name 2: Phone 3: Email 4: Creation Date 5: salePerson 6: Source 7: Channel Fields 1 to 4 when upload in Opportunities, the same filed should also create contact;;;;
"-------- Forwarded Message -------- Subject: AWS Anomaly URGENT - PLs Chcek if it is in AAA, Hostgator also Date: Sat, 13 Oct 2018 12:49:42 +0400 From: fiaz To: support@miroke.com, c.rakotondratsima@miroke.com, Tefy URGENT Accounting &gt; Customers &gt; PDC's Receipts &gt; There are few receipts which ""Validate/Collected"" but serial no is not allocated. Pls fix AND also check print because on Print Serial No &amp; Payment Term Value is not coming . SINCE Morning users are issuing WRONG RECEIPTS H.M.Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: AWS IMMIGRATION ANOMALY Date: Wed, 10 Oct 2018 18:03:06 +0400 From: fiaz To: 'Umer Farooq' , 'Christian Rakotondratsima' , 'Tefy Rakotonirina' , 'Manantenasoa Randrianirina' , support@miroke.com, 'Samoelinirina Andrianomenjanahary' This is urgent. Even I am not able to close the Chat window. You can see at down . it disturbing. All users facing same issue. If Re Installtion required pls go ahead. Or Chceked AWS Port also. H.M.Fiaz Business Analyst Manager Internal Audit To: 'Christian Rakotondratsima'; 'Tefy Rakotonirina'; 'Manantenasoa Randrianirina'; support@miroke.com; 'Samoelinirina Andrianomenjanahary'  --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
-------- Forwarded Message -------- Subject: Update AWS Source Code Form Date: Sun, 14 Oct 2018 10:14:03 +0400 From: fiaz To: Samoelinirina Andrianomenjanahary , support@miroke.com I added new Group by filter Expiry Month wise View Name: ir.attachment search External Id: user_interface_review.view_attachment_search_employee H.M.Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ;;;;
"-------- Forwarded Message -------- Subject: RE: Update AWS Source Code Form Date: Mon, 15 Oct 2018 09:48:56 +0400 From: fiaz To: 'Christian Rakotondratsima' , 'Samoelinirina Andrianomenjanahary' , support@miroke.com Pls update the below form Code in relevant View Form because when your team next time update AWS all new added filters remove (back to previous) H.M.Fiaz Business Analyst Manager Internal Audit From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com] Sent: Monday, October 15, 2018 8:34 AM To: fiaz; Samoelinirina Andrianomenjanahary; support@miroke.com Subject: Re: Update AWS Source Code Form Dear Mr. Fiaz, What would be our action on those kind of information, Best regards, Christian On 2018-10-14 10:14, fiaz wrote: --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: AWS &amp; AAA - Urgent for Today Date: Mon, 15 Oct 2018 13:02:51 +0400 From: fiaz To: Samoelinirina Andrianomenjanahary , support@miroke.com, c.rakotondratsima@miroke.com CC: baig@globalmigration.co.uk AAA &amp; AWS ERP Sales &gt; Sale Order &gt; Create &gt; Field Refferred By : By default Value coming Nothing , pls make it empty by default user will select the desire value. Upon Selection of any following Staff Ref &gt; Referred by Staff Make mandatory Team Sale &gt; Ref by Staff &gt; Make Mandatory Client ref &gt; Partner Name &gt; Rename to Client Name &amp; also make Mandatory H.M.Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: AWS IMMIGRATION ANOMALY Date: Mon, 15 Oct 2018 13:42:04 +0400 From: fiaz To: 'Christian Rakotondratsima' , 'Umer Farooq' , 'Tefy Rakotonirina' , 'Manantenasoa Randrianirina' , support@miroke.com, 'Samoelinirina Andrianomenjanahary' M out from debugger mode still same issue. further debugger mode I am using only not all other users. This complain is from all 100% users. H.M.Fiaz Business Analyst Manager Internal Audit From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com] Sent: Monday, October 15, 2018 9:11 AM To: fiaz; 'Umer Farooq'; 'Tefy Rakotonirina'; 'Manantenasoa Randrianirina'; support@miroke.com; 'Samoelinirina Andrianomenjanahary' Subject: Re: AWS IMMIGRATION ANOMALY Dear Mr. Fiaz, Can you get out of the debugger mode and check again, Please let us know the result of that action, Best regards, Christian On 2018-10-10 18:03, fiaz wrote: This is urgent. Even I am not able to close the Chat window. You can see at down . it disturbing. All users facing same issue. If Re Installtion required pls go ahead. Or Chceked AWS Port also. H.M.Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"1-HR>Salary Advance/loan>   1.1 Field ""Category"" should be eliminated ??. Why Developer Put here Drop Down Selection of Asset category these kind of mistakes create Gaps and Delay of Function to be active   1.1 Object name should need to change Advance_Accounts_Assets ?. Developer inherited Object of Asset here, but does not change the name of object. If we are using the same Object with same name system is considering salary Advance Request as ""New Asset"" which is wrong. The same mistake is in ""Passport Control"" where Laeve request object inherited with same name Now when we create Request of ""Passport Control"" system is considering new Leave request in reporting and in other auto actions.. pls Avoid Such mistake where Miro and We are putting Extra Efforts   2-HR>Passport control   2.1 Passport control object name should need to change from ""hr.holidays"" to ""hr.passport.holiday"".  2.2Passport control> create: When status is New, button ""Submit to accounts"" should be visible to all users creating the request and they can submit as well.  2.3 When status is ""GM Approval"", approved button access shall only be with ""General Manager"" group only.  2.4 Passport control>create>save>print: Print Name need to be ""Passport Control"".  2.5 Passport Control > Button Print >  Print form heading should be ""Passport Request Form"".";;;;
"-------- Forwarded Message -------- Subject: AWS &amp; AAA ERP SErach Anomaly Date: Tue, 16 Oct 2018 10:13:14 +0400 From: fiaz To: support@miroke.com, c.rakotondratsima@miroke.com, Tefy , Samoelinirina Andrianomenjanahary , 'Manantenasoa Randrianirina' CC: baig@globalmigration.co.uk Sales &gt; Leads &gt; Serach Search through Client name, Mobile 1 , Mobile 2, Phone, Email should be in first string of search same as in Opportunity. It was delivered earlier but dnt know how it reverse. For Ref, opportunity search. H.M.Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
Dear Mr. Fiaz, We will apply the same on all the same update, Best regards, Christian On 2018-10-15 09:48, fiaz wrote: Pls update the below form Code in relevant View Form because when your team next time update AWS all new added filters remove (back to previous) H.M.Fiaz Business Analyst Manager Internal Audit;;;;
"-------- Forwarded Message -------- Subject: FW: AWS Anomaly Date: Tue, 16 Oct 2018 10:27:22 +0400 From: fiaz To: Tefy , Samoelinirina Andrianomenjanahary , support@miroke.com, c.rakotondratsima@miroke.com CC: baig@globalmigration.co.uk Below Email request for today work And + HR &gt; Configuration &gt; Leave Type &gt; Open it &gt; Field Leave Type &gt; below New Field for Text ""Terms &amp; Condition"" here we will put leave terms as per type. This field value should come on ""Leave Request"" form as read only text. H.M.Fiaz Business Analyst Manager Internal Audit From: fiaz [mailto:fiaz@samana-group.com] Sent: Thursday, October 4, 2018 12:08 PM To: 'Baig'; 'Christian Rakotondratsima'; 'Tefy Rakotonirina'; 'support@miroke.com'; 'Manantenasoa Randrianirina' Subject: RE: AWS Anomaly With ref to Below Email 1-HR&gt;Salary Advance/loan&gt; 1.1 Field ""Category"" should be eliminated ??. Why Developer Put here Drop Down Selection of Asset category these kind of mistakes create Gaps and Delay of Function to be active 1.1 Object name should need to change Advance_Accounts_Assets ?. Developer inherited Object of Asset here, but does not change the name of object. If we are using the same Object with same name system is considering salary Advance Request as ""New Asset"" which is wrong. The same mistake is in ""Passport Control"" where Laeve request object inherited with same name Now when we create Request of ""Passport Control"" system is considering new Leave request in reporting and in other auto actions.. pls Avoid Such mistake where Miro and We are putting Extra Efforts 2-HR&gt;Passport control 2.1 Passport control object name should need to change from ""hr.holidays"" to ""hr.passport.holiday"". 2.2Passport control&gt; create: When status is New, button ""Submit to accounts"" should be visible to all users creating the request and they can submit as well. 2.3 When status is ""GM Approval"", approved button access shall only be with ""General Manager"" group only. 2.4 Passport control&gt;create&gt;save&gt;print: Print Name need to be ""Passport Control"". 2.5 Passport Control &gt; Button Print &gt; Print form heading should be ""Passport Request Form"". H.M.Fiaz Business Analyst Manager Internal Audit From: Baig [mailto:baig@globalmigration.co.uk] Sent: Thursday, October 4, 2018 12:26 PM To: 'Christian Rakotondratsima'; 'Tefy Rakotonirina'; support@miroke.com; 'Manantenasoa Randrianirina' Cc: fiaz@samana-group.com Subject: AWS Anomaly Dear Concerned, 1-HR&gt;Salary Advance/loan&gt; Field ""Category"" should be eliminated &amp; Object name should need to change Advance_Accounts_Assets 2-HR&gt;Pass port control * Pass port control object name should need to change from ""hr.holidays"" to ""hr.passport.holiday"". ** Pass port control&gt; create: When status is ""New"", ""Submit to accounts"" should to visible to all users creating the request. *** When status is ""GM Approval"", approved button access shall only be with GM Group. **** Pass port control&gt;create&gt;save&gt;print: Print Name need to be ""Pass port Control"". ***** Print form heading should be ""Pass port control"". Please note that these changes should be ""pass port control process"" specific and have nothing to do with leave request process. Make sure that there will be no changing in ""Leave request"" form after catering these requirements. Thanks &amp; Regards! Umer Baig ERP Support Analyst --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: AWS &amp; AAA - Urgent for Today Date: Tue, 16 Oct 2018 10:32:06 +0400 From: fiaz To: 'Samoelinirina Andrianomenjanahary' , 'Umer Farooq' CC: 'support' , 'Christian Rakotondratsima' Anomlay Error on below delivery When I create Sale order from Admin login its fine but when User Group Sale Person , See all Leads &amp; Even Supervisor not able to create Sale Order, the error is below Integrity Error The operation cannot be completed, probably due to the following: - deletion: you may be trying to delete a record while other records still reference it - creation/update: a mandatory field is not correctly set [object with reference: referred_by - referred.by] H.M.Fiaz Business Analyst Manager Internal Audit From: Samoelinirina Andrianomenjanahary [mailto:s.andrianomenjanahary@mirogoods.com] --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: AWS &amp; AAA - Urgent for Today Date: Sat, 20 Oct 2018 10:34:49 +0400 From: fiaz To: 'Samoelinirina Andrianomenjanahary' , 'Christian Rakotondratsima' CC: 'Umer Farooq' , 'support' Same error Again When Sale Order Create in fol way URGENT Opportunity &gt; Open it &gt; Convert Qoutation &gt; Slect mark won &gt; Create&gt; Below error Integrity Error The operation cannot be completed, probably due to the following: - deletion: you may be trying to delete a record while other records still reference it - creation/update: a mandatory field is not correctly set [object with reference: referred_by - referred.by] H.M.Fiaz Business Analyst Manager Internal Audit From: Samoelinirina Andrianomenjanahary [mailto:s.andrianomenjanahary@mirogoods.com] --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"---------- Forwarded message ---------- From: fiaz <fiaz@samana-group.com> Date: 2018-10-21 10:01 GMT+03:00 Subject: AAA ERP Request AND AAA & AWS also To: Samoelinirina Andrianomenjanahary <s.andrianomenjanahary@mirogoods.com>, Tefy <t.rakotonirina@mirogoods.com>, c.rakotondratsima@miroke.com, support <support@miroke.com> Cc: baig@globalmigration.co.uk   Dear Miro Team,   Below Request High Priority. Each point when done pls deliver on Test . ThMonday to onward only this request.  Point 1 and 2 AAA ERP ONLY for Both DB's   1: Leads & Opportunities  1.1: Leads & Opportunities Menu merge in One Menu called ""Leads & Opportunities"".   2:  Lead Form Changes.   2.1  Create Lead> Form > Field Contact > Drop Down list of ""res.partner"" not require. User Will Put Name of Contact Lead, Mobile , Email?.. and save same detail should create the contact form. Fields Mobile 1, Mobile 2, Phone, Email, Age????. Make all these fields with Edit option here in lead form (Not read only here) if user want to change info they can change and same update shall be on Contact form after save. Field ""Source"" and ""Channel"" mandatory.  2.2 On Lead & Opportunity Form Spouse Section Fields > All Hide.  2.3 On Lead & Opportunity Form > All Tabs like Internal Note, Other Info, Evaluation, Assigned Partner Should be Visible to ""Sale Supervisor"" only   2.4: Lead Form > Button ""Convert to Opportunity"" Rename this button to ""Qualified"" when click this no pop up and direct lead convert to opportunity.  When Lead Convert to Opportunity > Field Next Action date is atking by default current date & time its wrong. Whatever value on lead form it should come as it is or if lead form next action date and title empty opportunity form also empty.  2.5: on Opportunity Form Button > When Click to ""Convert to Quotation"" > No Pop Up Should Come for Mark Won. Direct Quotation creation. When Quotation confirm than relevant Opportunity status auto change to WON.    2.6: Request 2 change should not affect creation of lead & opportunity from Contact / customer form  2.7 : System Should not Allow to create Duplicate Contact (res.partner) /Customer   any of below > With Duplicate Mobile > Duplicate Email   Alert Msg ""The contact with this mobile or email already Created by ""User Name"" Note: Existing contact / customer can have multiple leads & opportunities.   Point 3 to 8 > AAA & AWS Requests Both Platform  3: Misc Interface Changes in CRM Sale Menus > Contacts, Customer, Leads, Opportunities, Leads & opportunities, Quotation, Sale Order  3.1 When click to this Menu > by default sort should be ""Creation Date"" latest recent record on top.  3.2.3: List View > When Right click on any  record, option to open it in New Tab. simple click open it in same window as existing. 3.3: Search function> Single string ONLY > search with name, mobile 1 or 2, phone, email, serial no (if record have serial)  4: Pop Up Notification   4.1 : When Appear it should disappear auto after 5 seconds of status ""Shown"" 4.2 : Menu > Messaging (Menu Name Change to Organizer in AWS) > My Pop Up Notification > Here List view Columns 1: Creation Date 2: Object Name 3: Title 4: Message 5: Status ???. By default Sort Order Creation Date latest should be on top?. Unread Color should be Blue 4.3: Message Should be like message of Out Put Preview not the coding expression as user cannot read this.  5: Leads & Opportunities Download   New Menu ""Leads Export"" When Click to this Menu > Pop Up Come for 1: Date Range Selection, 2: Multi Selection field ""Sale Person"" 3: Multi Selection Field ""Stage"" . Sale Person Access Group can download own leads only   6: Email Outgoing  6.1: AWS Mail chip is configured but all email where Outgoing server is Mail Chip status ""Error"". Pls check. Also same issue will be in AAA , Hostgator 6.2: Email Server SMTP ? all emails delivery failed.  7: Interface Skin Changes > Color Change Menu in Setting Text Color, Top Bar Color, Back Groound Color etc etc..  8: Leads, Opportunities, Leads & Opportunities  List View > Slect more than 1 > Go to ""More"" here one option ""Change Sale Person"" same like this Need ""Change Stage"" when click Pop up Come Where we select the stage > click Apply > so all selected record stage change        H.M.Fiaz Business Analyst Manager Internal Audit ";;;;
"-------- Forwarded Message -------- Subject: AWS Urgent Anomalies(Employees Doc &amp; Employee Leave Access) Date: Tue, 30 Oct 2018 16:50:05 +0400 From: Umer Farooq To: support@miroke.com, 'Christian Rakotondratsima' , 'Manantenasoa Randrianirina' , 'Tefy Rakotonirina' CC: 'fiaz' Dear Concerned, Reference our WhatsApp conversation, please take swift actions to resolve the following anomalies: 1-HR &gt; Employee Document &gt; If Attachment is PDF Download is Working But If Attachment is JPG File Download some other type of File. 2-Employees with group ""Employees"" can just be able to enter the leaves, the review/refuse button should not visible to them. Thanks &amp; Regards! Umer Baig ERP Support Analyst --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: FW: Hash Code Credentials for MIDs- 000008016479 "" SAMANA INTERNATIONAL REAL ESTA "" Date: Thu, 25 Oct 2018 10:27:31 +0400 From: fiaz@globalmigration.co.uk To: Christian RAKOTONDRATSIMA , c.rakotondratsima@miroke.com Excel file password: mashreqbank Payment gateway integration Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit Global Migration Services From: Abbas [mailto:abbas@samana-group.com] Sent: Tuesday, October 23, 2018 12:57 PM To: fiaz@globalmigration.co.uk; umar@samana-group.com Subject: FW: Hash Code Credentials for MIDs- 000008016479 "" SAMANA INTERNATIONAL REAL ESTA "" Dear Mr.Fiaz, As you discussed with Mr.Umar, PFA the details from Mashreq Bank on E-Portal. Regards, Abbas From: Imran Farooq [mailto:imran@samana-group.com] Sent: Monday, October 15, 2018 10:18 AM To: Abbas Shahul Subject: Fwd: Hash Code Credentials for MIDs- 000008016479 "" SAMANA INTERNATIONAL REAL ESTA "" ---------- Forwarded message --------- From: Mithun Velluva Karerat, TCS Date: Thu, 27 Sep 2018, 17:26 Subject: Hash Code Credentials for MIDs- 000008016479 "" SAMANA INTERNATIONAL REAL ESTA "" To: IMRAN@SAMANA-GROUP.COM Cc: Manish K Shah, TCS , Ali Danish Zaidi, TCS , Farhan Abbas, Taqania , Shaharyar Ahmad, Taqania Dear Imran Please find credentials for the MIDs attached :- Kindly find the below login link. https://migs.mastercard.com.au/ma/login.s?csrf=7fk0jin9ssf5ob74hb9c5rhc3n Thanks &amp; Regards Mithun VK TFU Mashreqbank Intranet  --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: AAA ERP Ledger Anomaly Date: Thu, 1 Nov 2018 09:37:40 +0400 From: Umer Farooq To: 'Christian Rakotondratsima' , support@miroke.com, 'Manantenasoa Randrianirina' , 'Tefy Rakotonirina' CC: fiaz@samana-group.com Dear Concerned, AAA Immigration ERP Anomaly AAA ERP&gt;Accounting&gt;Accounts&gt;Legal reports&gt;Accounting reports&gt;General ledger&gt;PDF&gt;Following error occurred Report (PDF) Wkhtmltopdf failed (error code: -11). Message: The ledger issue was previously resolved but now we are facing the same problem. Please resolve at earliest. Thanks &amp; Regards! Umer Baig ERP Support Analyst From: Baig [mailto:baig@globalmigration.co.uk] Sent: Wednesday, September 26, 2018 11:59 AM --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
